Participant_ID,V1_1) Friendly and warm,V1_2) Gregarious and sociable,V1_3) Assertive and Forceful,V1_4) Highly active and Energetic,V1_5) Seeks for Excitement,V1_6) Cheerful and Positive,V1_7) Trusting and forgiving,V1_8) Straightforward,V1_9) Altruistic,V1_10) Cooperative,V1_11) Modest,V1_12) Sympathetic,V1_13) High sense of Self-efficacy,V1_14) Orderly,V1_15) Dutiful,V1_16) Achievement-striving,V1_17) Self-disciplined,V1_18) Deliberating and Continuous,V1_19) Anxious,V1_20) Angry and hostile,V1_21) High level of Depression,V1_22) Self-conscious,V1_23) Immoderate behavior,V1_24) Vulnerable,V1_25) Imaginative,V1_26) Artistic interests,V1_27) Emotional,V1_28) Adventurous,V1_29) Intellectual,V1_30) Liberal,V2_1) Friendly and warm,V2_2) Gregarious and sociable,V2_3) Assertive and Forceful,V2_4) Highly active and Energetic,V2_5) Seeks for Excitement,V2_6) Cheerful and Positive,V2_7) Trusting and forgiving,V2_8) Straightforward,V2_9) Altruistic,V2_10) Cooperative,V2_11) Modest,V2_12) Sympathetic,V2_13) High sense of Self-efficacy,V2_14) Orderly,V2_15) Dutiful,V2_16) Achievement-striving,V2_17) Self-disciplined,V2_18) Deliberating and Continuous,V2_19) Anxious,V2_20) Angry and hostile,V2_21) High level of Depression,V2_22) Self-conscious,V2_23) Immoderate behavior,V2_24) Vulnerable,V2_25) Imaginative,V2_26) Artistic interests,V2_27) Emotional,V2_28) Adventurous,V2_29) Intellectual,V2_30) Liberal,V3_1) Friendly and warm,V3_2) Gregarious and sociable,V3_3) Assertive and Forceful,V3_4) Highly active and Energetic,V3_5) Seeks for Excitement,V3_6) Cheerful and Positive,V3_7) Trusting and forgiving,V3_8) Straightforward,V3_9) Altruistic,V3_10) Cooperative,V3_11) Modest,V3_12) Sympathetic,V3_13) High sense of Self-efficacy,V3_14) Orderly,V3_15) Dutiful,V3_16) Achievement-striving,V3_17) Self-disciplined,V3_18) Deliberating and Continuous,V3_19) Anxious,V3_20) Angry and hostile,V3_21) High level of Depression,V3_22) Self-conscious,V3_23) Immoderate behavior,V3_24) Vulnerable,V3_25) Imaginative,V3_26) Artistic interests,V3_27) Emotional,V3_28) Adventurous,V3_29) Intellectual,V3_30) Liberal,V4_1) Friendly and warm,V4_2) Gregarious and sociable,V4_3) Assertive and Forceful,V4_4) Highly active and Energetic,V4_5) Seeks for Excitement,V4_6) Cheerful and Positive,V4_7) Trusting and forgiving,V4_8) Straightforward,V4_9) Altruistic,V4_10) Cooperative,V4_11) Modest,V4_12) Sympathetic,V4_13) High sense of Self-efficacy,V4_14) Orderly,V4_15) Dutiful,V4_16) Achievement-striving,V4_17) Self-disciplined,V4_18) Deliberating and Continuous,V4_19) Anxious,V4_20) Angry and hostile,V4_21) High level of Depression,V4_22) Self-conscious,V4_23) Immoderate behavior,V4_24) Vulnerable,V4_25) Imaginative,V4_26) Artistic interests,V4_27) Emotional,V4_28) Adventurous,V4_29) Intellectual,V4_30) Liberal,V5_1) Friendly and warm,V5_2) Gregarious and sociable,V5_3) Assertive and Forceful,V5_4) Highly active and Energetic,V5_5) Seeks for Excitement,V5_6) Cheerful and Positive,V5_7) Trusting and forgiving,V5_8) Straightforward,V5_9) Altruistic,V5_10) Cooperative,V5_11) Modest,V5_12) Sympathetic,V5_13) High sense of Self-efficacy,V5_14) Orderly,V5_15) Dutiful,V5_16) Achievement-striving,V5_17) Self-disciplined,V5_18) Deliberating and Continuous,V5_19) Anxious,V5_20) Angry and hostile,V5_21) High level of Depression,V5_22) Self-conscious,V5_23) Immoderate behavior,V5_24) Vulnerable,V5_25) Imaginative,V5_26) Artistic interests,V5_27) Emotional,V5_28) Adventurous,V5_29) Intellectual,V5_30) Liberal,V6_1) Friendly and war,V6_2) Gregarious and sociable,V6_3) Assertive and Forceful,V6_4) Highly active and Energetic,V6_5) Seeks for Excitement,V6_6) Cheerful and Positive,V6_7) Trusting and forgiving,V6_8) Straightforward,V6_9) Altruistic,V6_10) Cooperative,V6_11) Modest,V6_12) Sympathetic,V6_13) High sense of Self-efficacy,V6_14) Orderly,V6_15) Dutiful,V6_16) Achievement-striving,V6_17) Self-disciplined,V6_18) Deliberating and Continuous,V6_19) Anxious,V6_20) Angry and hostile,V6_21) High level of Depression,V6_22) Self-conscious,V6_23) Immoderate behavior,V6_24) Vulnerable,V6_25) Imaginative,V6_26) Artistic interests,V6_27) Emotional,V6_28) Adventurous,V6_29) Intellectual,V6_30) Liberal,V7_1) Friendly and warm,V7_2) Gregarious and sociable,V7_3) Assertive and Forceful,V7_4) Highly active and Energetic,V7_5) Seeks for Excitement,V7_6) Cheerful and Positive,V7_7) Trusting and forgiving,V7_8) Straightforward,V7_9) Altruistic,V7_10) Cooperative,V7_11) Modest,V7_12) Sympathetic,V7_13) High sense of Self-efficacy,V7_14) Orderly,V7_15) Dutiful,V7_16) Achievement-striving,V7_17) Self-disciplined,V7_18) Deliberating and Continuous,V7_19) Anxious,V7_20) Angry and hostile,V7_21) High level of Depression,V7_22) Self-conscious,V7_23) Immoderate behavior,V7_24) Vulnerable,V7_25) Imaginative,V7_26) Artistic interests,V7_27) Emotional,V7_28) Adventurous,V7_29) Intellectual,V7_30) Liberal,V8_1) Friendly and warm,V8_2) Gregarious and sociable,V8_3) Assertive and Forceful,V8_4) Highly active and Energetic,V8_5) Seeks for Excitement,V8_6) Cheerful and Positive,V8_7) Trusting and forgiving,V8_8) Straightforward,V8_9) Altruistic,V8_10) Cooperative,V8_11) Modest,V8_12) Sympathetic,V8_13) High sense of Self-efficacy,V8_14) Orderly,V8_15) Dutiful,V8_16) Achievement-striving,V8_17) Self-disciplined,V8_18) Deliberating and Continuous,V8_19) Anxious,V8_20) Angry and hostile,V8_21) High level of Depression,V8_22) Self-conscious,V8_23) Immoderate behavior,V8_24) Vulnerable,V8_25) Imaginative,V8_26) Artistic interests,V8_27) Emotional,V8_28) Adventurous,V8_29) Intellectual,V8_30) Liberal,V9_1) Friendly and warm,V9_2) Gregarious and sociable,V9_3) Assertive and Forceful,V9_4) Highly active and Energetic,V9_5) Seeks for Excitement,V9_6) Cheerful and Positive,V9_7) Trusting and forgiving,V9_8) Straightforward,V9_9) Altruistic,V9_10) Cooperative,V9_11) Modest,V9_12) Sympathetic,V9_13) High sense of Self-efficacy,V9_14) Orderly,V9_15) Dutiful,V9_16) Achievement-striving,V9_17) Self-disciplined,V9_18) Deliberating and Continuous,V9_19) Anxious,V9_20) Angry and hostile,V9_21) High level of Depression,V9_22) Self-conscious,V9_23) Immoderate behavior,V9_24) Vulnerable,V9_25) Imaginative,V9_26) Artistic interests,V9_27) Emotional,V9_28) Adventurous,V9_29) Intellectual,V9_30) Liberal
P-11,4,4,2,4,4,4,3,2,2,4,3,4,3,4,3,3,3,2,1,1,1,1,1,1,5,4,3,3,4,4,2,2,2,2,4,3,4,4,4,4,4,4,3,3,4,3,4,4,2,2,4,3,3,3,2,2,4,2,4,4,3,3,2,3,4,3,3,4,4,3,4,4,2,2,1,4,2,3,2,3,4,4,3,3,2,2,4,3,3,3,4,5,5,5,4,3,1,4,2,2,2,3,3,1,2,3,2,3,4,5,4,5,4,3,2,3,2,3,4,4,5,4,4,5,5,4,3,3,3,2,2,2,1,1,2,1,1,2,4,3,4,4,5,5,4,2,2,4,2,2,3,3,2,4,3,3,4,4,3,4,3,5,4,4,3,4,4,5,2,1,2,2,2,2,3,3,3,4,3,2,2,3,2,4,3,4,3,2,3,2,3,4,4,3,3,4,4,3,3,4,4,3,4,3,2,4,4,1,1,3,2,2,2,3,3,3,5,4,5,5,3,5,4,3,5,4,4,4,2,1,1,2,1,2,4,3,3,4,3,3,5,5,4,4,5,4,2,3,2,3,2,3,2,1,2,2,2,3,4,3,5,3,5,4,3,3,4,2,3,2
P-12,1,1,3,1,2,2,2,1,2,3,1,2,1,1,1,2,2,1,2,1,2,2,2,1,5,5,5,5,5,5,2,1,1,1,3,1,4,4,4,3,4,4,3,4,4,3,4,4,1,1,1,1,1,1,5,5,5,5,5,2,2,3,2,2,2,2,5,5,5,5,5,5,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,5,5,5,5,5,5,1,2,1,2,1,1,1,1,1,1,1,1,4,5,4,5,5,4,2,2,2,2,2,2,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,5,5,5,2,2,2,2,2,2,3,2,2,2,3,2,4,4,3,4,3,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,4,4,4,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,2,2,3,4,4,4,4,4,5,4,4,3,3,3,4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,2,2,2
P-13,2,3,3,4,3,3,2,4,2,4,2,2,5,5,4,5,5,4,3,3,3,5,3,3,4,4,3,3,4,4,3,3,3,2,2,3,4,4,4,3,5,4,3,5,4,4,5,5,4,2,4,4,2,5,4,5,5,3,5,2,3,3,4,2,4,2,4,3,2,2,3,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,2,2,3,3,4,2,3,5,4,3,2,2,1,1,1,1,1,1,5,5,5,2,4,4,4,2,4,2,4,5,5,5,2,5,2,5,3,2,2,2,3,3,3,4,4,4,4,4,3,3,3,4,3,5,4,2,2,1,3,2,4,2,2,4,5,3,3,4,3,4,3,4,5,4,3,4,4,4,3,3,2,3,2,4,4,4,4,5,4,5,5,5,1,5,5,5,5,3,5,5,5,5,3,2,4,4,3,2,3,3,4,3,3,5,5,5,5,5,5,5,5,5,4,2,5,5,4,5,5,5,5,5,5,3,3,3,3,4,3,1,1,4,2,3,5,5,4,5,5,5,2,2,2,3,4,5,1,5,2,2,2,1,1,1,1,2,1,2,3,4,2,3,4,3,3,3,4,2,3,3
P-14,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,5,4,5,5,5,3,3,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,1,5,5,5,5,5,2,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,4,4,4,3,3,4,2,2,5,3,2,5,1,1,1,1,1,1,1,1,1,1,2,5,5,5,1,3,5,5,2,5,5,3,3,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,2,1,1,2,1,1,2,5,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,5,4,5,5,5,5,3,5,2,1,1,2,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,1,4,4,3,3,3,3,3,3
P-15,4,5,1,4,2,4,4,1,4,4,1,4,2,2,4,4,2,2,3,1,2,4,4,2,4,5,5,4,4,2,4,4,3,4,1,2,4,2,4,4,5,5,4,4,3,4,4,4,4,1,4,5,1,2,3,4,5,1,5,5,4,4,5,2,2,2,2,3,3,4,1,4,4,4,4,3,1,1,1,1,1,4,5,1,4,5,4,5,2,1,2,5,5,5,2,5,1,4,1,2,1,1,4,4,4,5,4,4,1,5,2,4,5,4,4,2,4,2,1,1,4,4,4,5,2,3,5,3,5,4,2,5,3,3,4,4,4,4,4,1,2,4,4,5,2,4,5,2,4,4,5,2,4,5,2,5,2,1,4,4,4,5,1,2,4,2,2,4,4,1,1,2,5,4,4,5,5,5,2,1,2,4,2,4,1,4,2,2,5,2,1,4,4,4,5,4,2,2,4,3,3,3,2,4,4,4,5,2,2,2,4,3,1,2,3,4,5,4,4,5,3,4,4,4,5,4,4,3,2,1,1,1,1,2,3,3,2,4,3,3,2,3,4,4,5,4,1,1,1,4,1,2,2,2,4,4,4,3,1,4,1,4,4,4,3,4,4,4,1,1
P-16,3,3,3,3,3,2,2,1,2,3,1,2,1,1,1,2,2,2,1,1,1,1,1,1,5,5,5,5,5,5,2,3,3,3,3,1,4,4,4,3,4,4,3,4,4,3,4,3,1,1,1,1,1,1,5,5,5,5,5,2,2,3,2,2,2,2,5,5,5,5,5,5,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,5,5,5,5,5,5,1,2,1,2,1,1,1,1,1,1,1,1,4,5,4,5,5,4,2,2,2,2,2,2,5,5,5,5,5,5,1,2,1,2,1,1,1,1,1,1,1,1,4,5,4,5,5,4,2,2,2,2,2,2,3,2,2,2,3,3,4,4,3,4,3,4,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,4,2,3,4,5,5,5,5,5,4,4,4,4,4,4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,2,2,2
P-17,3,3,2,2,3,1,2,1,2,3,1,2,1,1,1,2,1,2,1,2,1,1,2,1,5,5,4,5,5,5,1,1,1,1,1,3,4,4,4,3,4,4,4,4,4,3,4,4,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,2,2,2,5,5,5,5,5,5,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,5,5,5,5,5,5,1,2,1,2,1,1,1,1,1,1,1,1,4,5,4,5,5,4,2,2,2,2,2,2,5,5,5,5,5,5,1,2,1,2,1,1,1,1,1,1,1,1,4,5,4,5,5,4,2,2,2,2,2,2,3,2,2,2,3,2,4,4,3,4,3,4,2,2,2,3,2,2,2,2,2,2,2,3,1,1,1,1,2,1,3,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,3,4,3,4,5,5,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,2,3,3,3,3
P-18,3,5,3,5,4,5,3,3,3,5,4,5,4,5,4,3,4,4,1,1,1,3,1,3,4,5,4,4,4,1,3,3,3,2,1,4,5,3,3,2,5,5,4,2,5,3,2,3,3,3,3,4,2,4,5,5,4,5,5,4,4,2,1,5,5,5,1,3,1,5,2,3,5,2,1,2,2,5,3,1,3,2,4,4,4,3,4,5,3,5,5,4,5,4,4,4,1,3,1,4,2,4,5,2,2,5,2,3,4,5,5,3,4,3,3,3,4,3,2,2,5,4,5,5,4,5,4,3,3,4,3,4,3,3,3,4,3,3,1,1,1,3,4,3,4,4,2,2,2,4,4,2,3,4,2,4,2,3,3,2,3,4,4,1,3,3,5,2,1,2,2,3,4,5,3,3,4,4,3,3,4,2,2,4,3,4,3,3,3,2,4,4,2,3,3,3,3,2,3,3,4,3,3,2,4,4,5,3,5,4,3,4,5,4,4,4,2,3,1,2,3,3,5,4,3,5,4,5,2,4,2,5,2,2,3,3,2,3,4,2,3,5,5,4,5,4,1,3,1,5,3,1,5,5,2,5,4,5,3,3,3,4,3,3,4,2,4,5,4,4
P-19,5,5,2,5,4,5,4,2,4,3,4,4,1,1,1,2,2,1,2,2,3,2,4,3,5,5,4,5,2,3,4,1,1,1,2,3,5,2,4,2,4,4,4,5,5,4,5,3,4,3,2,2,1,3,5,3,4,3,5,4,2,4,2,4,4,2,3,2,4,5,3,4,2,2,1,2,1,2,1,2,2,3,2,2,5,4,3,5,4,4,4,5,5,5,5,4,1,4,1,4,1,3,4,1,1,4,2,2,3,4,2,1,5,1,3,4,2,4,2,2,4,3,5,5,5,3,5,2,4,3,5,4,2,3,3,2,3,2,4,2,4,5,2,5,4,3,4,2,3,4,2,4,1,4,3,4,4,2,4,4,3,4,2,2,2,3,3,4,4,2,3,4,2,4,4,5,3,2,2,4,3,2,2,2,3,3,4,2,2,3,2,2,2,1,1,2,2,2,4,4,1,4,2,2,2,2,4,3,1,2,2,2,2,2,4,5,4,2,4,3,4,4,1,1,1,2,2,1,2,2,3,2,4,3,5,5,4,5,2,3,3,5,5,3,2,3,4,2,2,4,2,3,2,1,1,2,1,2,3,3,4,4,2,3,2,2,2,1,2,3
P-20,2,3,3,5,5,5,3,3,3,2,2,1,4,1,1,3,1,3,3,3,3,3,2,4,4,4,5,3,3,5,5,5,3,3,2,3,3,5,5,5,5,5,1,5,5,1,5,5,3,1,1,1,4,3,5,5,5,5,5,5,2,3,4,2,3,4,5,1,2,4,3,4,5,1,2,2,1,2,3,3,2,3,3,2,2,3,5,3,4,4,5,5,5,5,5,5,1,5,3,3,1,3,4,1,1,3,1,2,3,3,2,2,4,3,3,3,2,4,5,5,5,5,4,5,5,5,2,4,3,4,3,5,5,1,3,3,2,2,3,3,1,3,4,3,2,4,2,4,4,2,5,4,4,5,4,2,3,3,3,5,5,2,5,2,3,3,3,4,3,2,1,3,3,4,4,3,5,4,4,3,3,3,3,5,5,5,3,2,3,4,2,4,4,1,3,2,3,3,3,2,1,3,4,4,4,5,5,3,3,3,5,2,4,5,4,2,4,5,4,4,2,4,5,5,3,5,4,2,1,1,2,4,4,2,4,4,5,4,4,3,5,3,3,4,4,3,1,4,2,2,4,2,5,5,5,5,4,5,5,3,1,4,5,4,2,4,2,3,2,3
P-21,5,5,1,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,3,5,5,5,4,4,3,5,3,1,3,3,5,5,3,5,4,5,5,5,5,5,4,5,5,3,1,1,3,1,2,4,5,4,1,5,5,2,5,2,2,5,3,3,4,4,3,2,4,3,4,4,3,3,3,2,3,3,5,3,1,3,5,3,5,2,5,3,3,3,5,5,3,3,3,2,4,3,4,5,3,2,3,3,3,1,3,3,5,5,1,2,2,3,5,5,5,5,5,2,3,5,5,5,1,4,5,5,5,5,5,5,3,5,5,5,3,5,4,5,3,3,3,3,2,5,2,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,3,4,4,5,5,5,5,4,3,5,3,3,4,5,5,5,4,5,5,5,5,3,4,3,4,3,3,2,4,3,3,4,3,4,5,5,4,4,4,4,5,4,5,3,3,2,4,4,3,2,2,3,3,4,3,3,3,2,2,4,3,1,5,5,3,5,5,5,2,5,5,2,3,2,2,1,1,2,1,2,1,1,1,2,2,3,1,3,1,1,1,1,1,3,2,5,3,2
P-22,5,5,2,5,5,5,3,2,3,3,3,4,4,2,3,3,2,2,1,1,1,1,4,1,4,5,4,4,3,4,3,3,3,1,1,4,5,4,2,3,4,5,3,5,3,3,3,4,2,1,1,4,1,4,4,5,4,1,4,2,3,3,4,4,4,3,3,2,3,4,4,5,4,2,3,3,2,2,2,2,2,3,4,3,4,3,5,4,5,5,5,5,5,5,2,2,2,2,3,2,1,2,4,2,4,5,5,2,2,4,3,2,4,2,3,1,2,1,2,5,4,4,2,2,2,3,4,3,3,2,4,4,2,4,3,2,2,3,2,1,1,4,1,4,4,4,5,1,3,4,4,4,2,2,3,4,4,3,3,3,4,5,3,5,3,2,2,4,1,1,1,3,1,3,4,3,4,1,3,4,2,2,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,2,4,3,4,3,4,5,3,5,4,3,5,4,4,2,4,4,4,4,3,3,4,4,5,4,2,4,4,3,2,2,1,1,1,4,2,5,5,5,5,3,5,4,4,5,4,4,4,4,3,3,3,4,5,3,4,3,4,4,3,3,1,1,2,1,4,3,4,5,2,3,3
P-23,5,5,1,5,5,5,5,5,4,5,1,3,5,4,2,5,3,4,3,1,1,1,1,1,2,5,5,5,4,5,3,3,1,1,1,2,3,4,5,3,5,5,3,4,5,3,4,3,1,1,3,5,1,3,4,5,3,1,5,1,5,2,2,5,4,5,5,5,5,5,3,4,5,5,4,5,5,5,1,1,1,3,1,3,4,5,5,5,5,3,5,5,4,4,5,5,2,5,2,1,3,4,3,3,1,4,3,3,5,4,5,2,5,5,2,3,5,5,3,5,4,3,3,3,2,2,4,3,3,3,4,5,3,3,3,2,3,3,4,3,5,5,3,5,4,4,4,3,3,3,2,5,4,4,4,4,5,5,5,4,3,5,5,5,5,3,3,3,3,3,1,3,2,3,3,3,3,2,4,1,5,4,3,4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,3,1,2,3,3,4,4,4,4,3,4,1,3,3,1,1,1,2,4,3,3,3,4,3,2,2,3,2,2,2,3,1,3,3,3,4,3,4,3,2,3,3,3,3,5,5,2,5,3,3,3,2,5,4,3,3,3,2,2,3,4,3,5,5,3,5,5,4,4,3,3,4
P-24,5,5,3,5,5,5,5,5,5,5,3,5,5,2,2,4,2,4,2,1,1,1,1,5,5,5,5,5,4,5,5,4,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,1,3,4,5,5,1,5,2,1,1,4,5,5,2,2,2,3,2,2,4,4,2,2,5,2,2,4,3,3,2,4,5,5,5,3,5,4,5,5,2,5,4,5,2,4,5,3,3,1,4,5,1,1,5,5,5,1,5,3,1,5,5,1,1,1,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,4,4,3,1,1,1,1,1,1,1,2,2,2,1,1,3,2,4,1,5,1,5,5,5,5,5,5,5,4,2,4,3,2,4,4,1,2,4,4,4,2,4,5,2,2,4,2,2,3,2,2,2,2,2,2,4,2,4,2,1,2,3,2,2,5,4,4,3,4,5,5,4,5,4,3,4,5,5,4,2,5,5,5,2,5,5,3,2,5,2,4,5,2,1,3,3,3,1,2,5,5,5,5,5,5,5,3,2,5,5,5,5,2,5,4,3,1,4,5,2,2,2,2,2,4,4,2,4,4,5,4,4,5,2,2,4
P-25,5,5,3,5,5,5,3,5,3,3,1,4,5,3,3,4,3,3,3,1,1,3,3,1,4,4,4,4,4,4,5,3,1,1,1,1,2,3,3,3,1,3,2,2,3,2,3,3,2,1,1,2,1,1,5,5,5,4,5,4,5,5,3,5,2,2,3,4,3,4,4,4,4,3,3,2,2,3,2,1,3,3,1,2,4,4,4,4,4,4,5,5,5,5,5,5,3,5,2,3,1,3,5,4,2,5,5,4,3,1,1,4,1,3,4,4,5,5,4,4,5,2,2,5,5,5,5,3,4,4,4,4,2,3,2,2,3,3,2,1,1,1,2,3,3,4,4,3,4,4,2,2,3,2,5,5,3,4,3,3,3,4,5,3,3,3,3,3,2,1,1,3,1,3,2,4,4,4,4,4,3,2,1,3,3,2,3,5,5,5,5,5,2,1,5,3,4,4,2,1,2,2,1,2,4,4,4,4,4,4,5,2,2,2,2,2,2,3,3,3,4,4,4,3,3,3,3,4,2,1,1,3,1,3,3,4,4,4,4,4,5,5,4,4,5,5,2,5,2,3,1,2,5,5,2,5,1,2,4,2,1,4,4,3,4,4,4,4,4,4
